BACIAS,Área de Drenagem  (km²),Perímetro (km),Comprimento do rio principal (km),Comprimento total dos canais (km),Coeficiente de compacidade,Fator de forma,Índice de Circularidade,Ordem do rio principal,Densidade de drenagem (km/km²),índice de Sinuosidade,Declividade média (%),Altitude máxima  (m),Altitude mínima (m),Altitude média (m),Amplitude altimétrica (m),Diferença de cotas no talvegue (m),Extensão média do escoamento superficial (Km),Coeficiente de rugosidade,Coeficiente de escoamento do método racional,Declividade do vale (%),Tamanho
Rio Puraquequara (AM),694.834,151.731,19.451,544.985,1.61,0.45,0.37,4,0.78,1.18,2.02,147,7,,140,160.67,,,,8.26,macro
Rio Salamanca (CE),181.3,60.41,29.57,133.77,1.27,0.21,0.62,4,0.74,1.35,14.16,920,360,533,560,205.81,339,10.45,,6.96,média
Córrego Fundo (MG),17.7,21.8,5.8,,1.45,0.42,0.43,,0.72,1.12,5.84,898,742,,156,9.4,,,,1.62,pequena
Rio Jequitinhonha (MG e BA),67802,2125,918,,2.28,0.26,,7,1.23,1.86,1.63,1267,31,,1236,1238.15,,,,13.23,macro
Bacia do córrego da Lontra (SP),18.3,20.19,5.7,26.32,1.32,0.5,0.56,4,1.44,1.1,9.8,555,440,,115,,720,14.11,,,pequena
Bacia do Igarapé Preto do Alto Juruá (AC),116.85,87.32,26.93,100.51,2.26,0.24,0.19,,0.86,,0.25,238,170,204,68,,,,,,média
Bacia do Rio Ondas (BA),5525.96,605.94,156,1028,2.28,0.26,0.18,4,0.18,,3.32,929,435,758,494,,,,,,macro
Bacia do Rio Piranhas- Açu (RN),17432,817,245,1450,1.73,0.4,0.33,,0.1,,,805,1,208,804,,,,,,macro
Bacia do Alto e Médio Mamanguape (PB),904,238,89,1935,2.22,0.44,0.78,7,0.55,,,1380,108,940,1272,,,,,,grande
Sub-bacia do córrego Horizonte (ES),13.18,19.72,9.93,22.04,1.52,0.27,0.43,3,1.67,31.14,24.58,680,120,295.89,560,,,,,,pequena
Sub-bacia Perdizes (SP),12.7,19.85,8.81,44.27,1.56,0.27,0.41,4,3.49,1.33,,1910,1580,1720,330,,,,,,pequena
Sub-bacia Fojo (SP),13.97,19.74,9.64,57.34,1.48,0.29,0.45,4,4.1,1.43,,1950,1520,1734,430,,,,,,pequena
Bacia do Igarapé do Mindú (AM),64.7,47.96,17,,1.67,0.22,0.35,3,1.3,1.09,8,124,19,,105,,,,,,média
Bacia Hidrográfica do Córrego Santa Maria (ES),30.44,29.19,15.68,52.27,1.48,0.12,0.45,4,1.72,,29.9,1400,740,949.81,,,0.15,,,,pequena
 Bacia Hidrográfica do Igarapé do Una (PA),44.01,37.91,9.98,41.65,1.6,0.44,0.39,3,0.94,1.27,,40,5,22.5,35,,,,,,pequena
Bacia Hidrográfica do Riacho Rangel (PI),326.18,109.42,42.37,231.68,1.69,0.25,0.11,4,0.71,1.18,,600,300,413,300,,,,,,média
Bacia Hidrográfica do Rio Jaboatão (PE),420,190.34,75,678.78,2.6,,,5,1.62,1.99,,445,0,,,,,,,,média
Bacia hidrográfica do Ribeirão Salobra (MS),543.9,123.48,40.63,167.3,1.48,0.33,0.44,3,0.3,,3.73,,,,,,,,,,grande
Bacia do Riacho Faé (CE),491.5,123.4,58.1,563,1.6,0.4,0.4,5,1.1,1.7,4.1,423.3,205,280.9,,,,,,,média
"Bacia do Rio Una, Ibiuna (SP)",96.42,75.56,25.5,207.04,2.17,0.24,0.33,5,2.14,1.29,18.56,1175,850,937,,,,,,,média
Sub-bacia do rio Rolim de Moura (RO),2822.46,333.1,35.2,4573.64,1.75,0.46,0.31,7,1.62,74.92,,158,454,245,,,,,,,grande
"Bacia do Córrego do Marinheiro, Sete Lagoas (MG)",14.8,23.7,9.18,33.7,1.72,0.25,0.33,3,1.59,20.6,13,849.6,767.5,808.6,,,,148,,,pequena
"Microbacia Grota Criminosa, Marabá (PA)",10.93,22.9,9141,15032,0.58,1.44,261,3,1.41,20.31,,102,71.8,,30.2,,,,,,pequena
"Bacia do Ribeirão das rosas, Juiz de Fora (MG)",47022,38625,18.31,106507,1577,0.14,396,5,2265,1.57,38.5,1060,400,,660,,0.22,,,,pequena
Bacia do Açude Araras (Sub-bacia do Acaraú-CE),3506,312,151,3659.73,1.48,0.43,0.45,7,1.04,1.29,7.96,1117.89,123.88, ,996.12,, , , ,,grande
Bacia do Rio Manso (MT),10793.11,532.66,270.59,4946.87,1.43,0.21,0.48,6,0.46, , ,893,231, , ,, , , ,,macro
Bacia do Rio Caruça (PA),303.34,122.7,34.88,314.67,14.65,0.39,0.25,5,1.04,1.25, ,66.88,5, ,61.88,, , , ,,média
Bacia do Rio Beberibe (PE),81.13,62.5,23.22,177.4,1.94,0.2,0.26,6,2.19,1.21,9.4,135,0,54,166,, , , ,,média
Bacia do Rio Gramame (PB),588.6,123.23,39.98,477.75,14222,0.2581,0.4872,5,0.81,1.49, ,214,1,80,213,, , , ,,grande
Bacia do Rio Jaguaribe (PB),37.3,37.75,9, ,17327,0.5828,329,3,0.9305, ,5,55,5,25,50,, , , ,,pequena
Bacia do Rio Itaueira (PI),10122.4,757.03,290.6,735.2,2.1068,0.12,222,3,73,,4.81,704.3,102,371.7,602.3,577,,44238,,4.77,macro
