BACIAS,Ventura,CHPW,Temez,Kirpich,Ven te Chow,Pasini,Picking,Pickering,Bransby Willians,Giandotti,Epsey,Corps Engineers,Dooge
Rio Puraquequara (AM),11.66,4.14,1.92,1.7,1.43,8.95,1.46,4.15,4.01,,6.36,1.22,3.73
Rio Salamanca (CE),6.49,6.11,2.72,2.51,1.97,7.16,2.05,6.11,7.22,5.32,7.63,1.73,2.21
Córrego Fundo (MG),4.2,3.05,1.04,1.26,1.11,3.97,1.12,3.06,2.39,,5.52,0.66,1.09
Rio Jequitinhonha (MG e BA),91.04,161.84,32.79,27.64,14.47,117.67,16.29,162.04,108.93,,23.41,20.88,22.51
Córrego da Lontra (SP),1.57,1.39,0.7,0.57,0.58,1.46,0.57,1.39,1.57,,3.82,0.45,0.79
Igarapé Preto do Alto Juruá (AC),6.44,12.58,2.75,2.75,2.13,7.42,2.22,12.59,7.48,7.32,7.97,1.75,1.99
Rio de Ondas (BA),42.36,32.34,10.27,10.28,6.36,46.06,6.93,32.38,28.92,24.12,14.75,6.54,9.51
Rio Piranhas-Açu (RN),69.72,45.77,14.06,13.73,8.09,72.76,8.89,45.82,39.27,77.63,16.88,8.95,14.84
Alto e Médio Mamanguape (PB),9.96,14.91,5.45,4.4,3.14,12.15,3.32,14.93,15.92,10.35,9.91,3.47,3.76
Córrego Horizonte (ES),2.09,3.02,1.27,1.24,1.1,2.48,1.11,3.02,3.38,2.14,5.49,0.81,0.8
Ribeirão das Perdizes (SP),1.15,1.77,0.93,0.73,0.7,1.32,0.7,1.77,2.39,0.83,4.27,0.59,0.65
Ribeirão do Fojo (SP),1.17,1.84,0.98,0.76,0.73,1.36,0.73,1.84,2.55,0.88,4.36,0.63,0.67
Igarapé do Mindú (AM),3.62,9.06,1.74,1.56,1.32,3.94,1.35,9.07,4.47,,6.1,1.11,1.42
Córrego Santa Maria (ES),1.58,2.01,1.38,1.03,0.94,1.9,0.95,2.01,3.71,1.85,5.03,0.88,0.89
Igarapé do Una (PA),3.37,3.31,1.22,1.13,1.02,3.28,1.03,3.31,2.87,10.94,5.26,0.77,1.26
Riacho Rangel (PI),7.04,8,3.3,2.81,2.17,7.94,2.26,8.01,8.95,8.35,8.05,2.1,2.62
Rio Jaboatão (PE),8.19,14.04,5.14,4.45,3.17,10.72,3.36,14.06,15.61,,9.97,3.27,2.93
Ribeirão Salobra (MS),13.77,8.83,3.74,3.75,2.75,14.07,2.9,8.84,9.63,,9.2,2.38,3.72
Riacho Faé (CE),13.3,14.08,4.94,5,3.5,15.58,3.71,14.1,14.01,13.11,10.53,3.15,3.59
Rio Una (SP),4.58,4.74,2.4,2.18,1.76,5.34,1.81,4.74,6.54,3.17,7.15,1.53,1.69
Rio Rolim de Moura (RO),28.57,8.49,3.24,3.13,2.36,21.16,2.47,8.51,6.82,21.19,8.45,2.06,7.08
Córrego Marinheiro (MG),1.47,2.31,1.02,0.85,0.8,1.67,0.8,2.31,2.62,1.28,4.6,0.65,0.73
Grota Criminosa (PA),1.97,3.73,1.21,1.2,1.07,2.35,1.08,3.74,3.22,,5.4,0.77,0.75
"Bacia do Ribeirão das rosas, Juiz de Fora (MG)",,,,,,,,,,,,,
Bacia do Rio Manso (MT),,,,,,,,,,,,,
Bacia do Rio Caruça (PA),,,,,,,,,,,,,
Bacia do Rio Beberibe (PE),,,,,,,,,,12.05,,,
Bacia do Rio Gramame (PB),,,,,,,,,,21.94,,,
Bacia do Rio Jaguaribe (PB),,,,,,,,,,9.48,,,
Rio Itaueira (PI),58.58,57.51,16.61,16.88,9.61,70.85,10.63,57.58,51.15,54.35,18.6,10.57,12.28
Córrego Angico (MS),11.3,10.94,4.34,4.29,3.08,13.08,3.25,10.95,12.14,9.77,9.8,2.77,3.23
Rio São José (PR),4.59,4.48,2.47,2.08,1.69,5.25,1.74,4.49,6.65,4.38,6.99,1.57,1.86
Rio Cotia (SP),5.64,7.21,2.8,2.3,1.83,6.29,1.9,7.22,7.48,4.87,7.33,1.78,2.28
Rio Claro (GO),57.39,75.2,19.33,19.49,10.82,74.38,12.04,75.29,62.55,44.61,19.89,12.31,12.23
Rio Pequeno (PR),5.15,11.11,4.35,3.95,2.87,7.47,3.02,11.12,13.91,5.27,9.42,2.77,1.88
Bacia do Rio Poxim-Açu (SE),,,,,,,,,,,,,
Bacia do Rio Mateus (ES),,,,,,,,,,47.8,,,
Bacia do Monte Sinai (MT),,,,,,,,,,,,,
Bacia do Córrego do Botafogo (GO),,2.23,,,,,,2.23,,,,,
Bacia dos Franceses (AM),,,,,,,,,,,,,
Vertente Marítima(CE) 1,,,,,,,,,,,,,
Vertente Marítima(CE) 2,2.81,,0.73,0.97,0.89,2.72,0.9,,1.68,,4.89,0.47,0.7
Vertente Marítima(CE) 3,3.26,3.48,1.01,1.43,1.24,3.55,1.26,3.48,2.53,,5.87,0.64,0.73
Vertente Marítima(CE) 4,,,,,,,,,,,,,
Vertente Marítima(CE) 5,,,,,,,,,,,,,
Vertente Marítima(CE) 6,"5,08","3,58",1,"1,47","1,26","4,83","1,29","3,58","2,31",,"5,94","0,64",1
Vertente Marítima(CE) 7,,,,,,,,,,,,,
Rio Cocó(CE) 1,"1,49","1,52","0,8","0,63","0,62","1,48","0,62","1,52","1,86",,"3,99","0,51","0,8"
Rio Cocó(CE) 3,"17,4","12,12","2,78","4,98","3,48","18,6","3,7","12,13","7,23",,"10,51","1,77","2,17"
Rio Cocó(CE) 4,"9,4","7,84","1,68","3,22","2,43","10,22","2,54","7,85","4,3",,"8,57","1,07","1,19"
Rio Cocó(CE) 5,"15,72","12,32","2,62","5,07","3,53","17,51","3,76","12,34","6,98",,"10,59","1,67","1,82"
Rio Maranguapinho(CE) 1,"4,76","3,84","1,04","1,58","1,34","4,77","1,37","3,84","2,46",,"6,14","0,66","0,9"
Rio Maranguapinho(CE) 2,"8,51",,0,0,0,0,0,,0,,0,0,"1,19"
Rio Maranguapinho(CE) 3,"15,14","9,5","2,08","3,91","2,85","15,26",3,"9,51","5,14",,"9,38","1,32","1,82"
Rio Maranguapinho(CE) 4,"2,25","1,89","0,56","0,78","0,75","2,13","0,74","1,9","1,26",,"4,41","0,36","0,55"
Rio Maranguapinho(CE) 5,"2,63","1,47","0,41","0,61","0,6","2,12","0,6","1,48","0,82",,"3,93","0,26","0,57"
Rio Maranguapinho(CE) 6,3,"2,63","0,74","1,08","0,98","2,97","0,99","2,63","1,72",,"5,14","0,47","0,65"
Rio Maranguapinho(CE) 7,"1,95","1,58","0,45","0,65","0,64","1,79","0,64","1,58","0,97",,"4,06","0,29","0,46"
Sobral,"62,91","30,66","12,36","12,61","7,54","65,49","8,26","30,7","34,25",,"16,23","7,87","12,89"
